zapis,cas_ms,cas_min,temperatura_C,zracna_vlaga_pct,svetloba_lux,zemlja_pct,zemlja_raw,temp_ok,vlaga_ok,svetloba_ok,zemlja_ok
1,300000,5.000,45.9,15.0,54612.5,60.5,1718,1,1,1,1
2,600000,10.000,43.3,15.0,43970.8,62.5,1688,1,1,1,1
3,900000,15.000,41.1,15.0,54612.5,62.7,1685,1,1,1,1
4,1200000,20.000,44.3,15.0,54612.5,61.4,1704,1,1,1,1
5,1500000,25.000,43.6,15.0,54612.5,61.5,1703,1,1,1,1
6,1800000,30.000,47.1,15.0,50368.3,60.5,1718,1,1,1,1
7,2100000,35.000,44.3,15.0,54612.5,61.0,1710,1,1,1,1
8,2400000,40.000,44.8,15.0,54612.5,60.4,1720,1,1,1,1
9,2700000,45.000,41.8,15.0,39746.7,63.5,1673,1,1,1,1
10,3000000,50.000,37.1,18.0,15565.0,64.3,1662,1,1,1,1
11,3300000,55.000,35.9,23.0,11101.7,64.7,1656,1,1,1,1
12,3600000,60.000,34.2,24.0,8693.3,65.1,1649,1,1,1,1
13,3900000,65.000,33.3,27.0,7806.7,65.3,1646,1,1,1,1
14,4200000,70.000,32.0,22.0,8035.0,65.3,1646,1,1,1,1
15,4500000,75.000,31.2,23.0,8040.8,67.1,1619,1,1,1,1
16,4800000,80.000,30.8,23.0,7859.2,67.0,1621,1,1,1,1
17,5100000,85.000,31.0,23.0,9304.2,67.3,1617,1,1,1,1
18,5400000,90.000,30.7,24.0,6666.7,67.1,1619,1,1,1,1
19,5700000,95.000,30.4,26.0,7337.5,67.1,1619,1,1,1,1
20,6000000,100.000,30.8,26.0,8120.0,66.9,1623,1,1,1,1
21,6300000,105.000,30.6,25.0,12165.8,67.0,1621,1,1,1,1
22,6600000,110.000,30.4,25.0,9171.7,66.7,1626,1,1,1,1
23,6900000,115.000,30.3,25.0,9177.5,66.6,1627,1,1,1,1
24,7200000,120.000,30.1,25.0,11624.2,66.5,1629,1,1,1,1
25,7500000,125.000,30.0,24.0,9877.5,66.4,1630,1,1,1,1
26,7800000,130.000,30.2,25.0,6600.0,66.5,1628,1,1,1,1
27,8100000,135.000,29.7,25.0,6259.2,66.7,1626,1,1,1,1
28,8400000,140.000,30.2,25.0,6880.0,66.6,1627,1,1,1,1
29,8700000,145.000,29.7,25.0,6906.7,67.4,1615,1,1,1,1
30,9000000,150.000,29.2,26.0,5296.7,67.3,1616,1,1,1,1
31,9300000,155.000,29.0,26.0,5030.0,67.4,1615,1,1,1,1
32,9600000,160.000,29.0,26.0,5337.5,67.2,1618,1,1,1,1
33,9900000,165.000,29.0,26.0,5534.2,67.4,1615,1,1,1,1
34,10200000,170.000,29.2,27.0,5029.2,67.4,1615,1,1,1,1
35,10500000,175.000,28.7,26.0,4855.8,67.9,1607,1,1,1,1
36,10800000,180.000,28.8,27.0,5305.0,67.7,1610,1,1,1,1
37,11100000,185.000,28.5,27.0,4227.5,68.2,1603,1,1,1,1
38,11400000,190.000,28.2,29.0,3463.3,68.3,1602,1,1,1,1
39,11700000,195.000,28.1,30.0,3054.2,68.1,1605,1,1,1,1
40,12000000,200.000,27.9,30.0,3065.0,68.3,1602,1,1,1,1
41,12300000,205.000,28.1,30.0,3489.2,68.3,1602,1,1,1,1
42,12600000,210.000,28.1,30.0,4923.3,68.9,1593,1,1,1,1
43,12900000,215.000,28.1,30.0,4083.3,68.7,1596,1,1,1,1
44,13200000,220.000,27.9,31.0,3142.5,68.7,1596,1,1,1,1
45,13500000,225.000,27.7,31.0,1500.8,68.1,1604,1,1,1,1
46,13800000,230.000,27.8,31.0,1047.5,68.0,1606,1,1,1,1
47,14100000,235.000,27.5,32.0,980.0,68.3,1602,1,1,1,1
48,14400000,240.000,27.5,33.0,1370.0,67.7,1611,1,1,1,1
